Nombre de pieces;Nombre de chambres;Superficie salon (m²);Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
2.0;1;22.0;0;1;0;1;0;0;0;1;1;0;0;1;3.0;5.0;5.0;575000;52.0;75018;2500;1.0;8.0
2.0;1;26.7;0;1;0;1;0;1;0;1;0;0;0;0;3.0;5.0;2.0;350000;50.0;75018;2268;4.0;6.0
3.0;2;-1.0;0;0;0;0;0;1;0;1;0;0;1;1;3.0;5.0;2.0;630000;65.0;75018;1868;3.0;6.0
2.0;1;48.4;0;1;0;0;0;1;0;1;0;1;1;1;1.0;4.0;2.0;1250000;90.6;75005;0;1.0;5.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;3.0;300000;41.0;75018;0;1.0;5.0
1.0;1;25.0;1;0;0;0;0;0;0;0;0;0;0;1;5.0;6.0;3.0;230000;25.0;75018;1428;3.0;4.0
2.0;1;24.0;1;1;0;1;0;0;0;0;0;0;0;1;3.0;4.0;4.0;774000;50.0;75006;4000;4.0;-1.0
2.0;1;26.0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;3.0;1.0;988000;54.0;75006;1600;3.0;5.0
2.0;1;-1.0;1;1;0;1;0;0;0;0;0;0;0;1;-1.0;4.0;2.0;659000;45.0;75002;1500;5.0;5.0
4.0;1;30.0;0;0;0;0;0;1;1;0;0;1;0;1;-1.0;5.0;2.0;699000;77.0;75011;2060;4.0;6.0
3.0;2;-1.0;1;1;0;1;0;0;1;0;1;0;0;1;-1.0;4.0;4.0;743000;64.7;75013;3224;7.0;11.0
2.0;1;-1.0;0;0;0;1;0;0;0;1;0;0;0;0;-1.0;6.0;3.0;415000;45.0;75017;960;5.0;6.0
2.0;1;-1.0;0;0;0;0;0;1;0;0;0;0;1;1;3.0;5.0;2.0;315000;22.0;75015;768;6.0;6.0
3.0;2;24.0;0;1;1;1;0;1;0;0;1;0;0;0;3.0;4.0;5.0;500000;53.0;75015;2175;4.0;8.0
2.0;1;12.0;0;1;0;0;0;1;1;1;0;0;0;1;3.0;5.0;3.0;475000;33.0;75004;0;1.0;4.0
4.0;2;18.0;0;0;0;0;0;1;0;1;1;1;1;1;5.0;5.0;2.0;945000;64.5;75004;0;4.0;4.0
3.0;2;13.0;0;0;0;1;0;1;0;0;1;0;0;0;5.0;5.0;5.0;450000;55.0;75018;1475;1.0;6.0
4.0;2;-1.0;0;0;0;1;0;1;0;1;0;1;1;0;-1.0;4.0;4.0;390000;66.0;75018;840;3.0;4.0
1.0;1;28.0;0;1;1;1;0;1;0;0;1;0;0;1;-1.0;4.0;4.0;266000;28.0;75015;1404;7.0;11.0
4.0;3;-1.0;0;1;0;1;0;0;0;0;0;0;0;0;1.0;4.0;4.0;740000;68.0;75017;3384;2.0;6.0
1.0;1;17.0;0;0;0;0;0;0;0;0;0;0;1;0;3.0;5.0;3.0;165000;17.0;75017;444;6.0;6.0
4.0;3;-1.0;0;1;1;1;0;0;0;0;1;0;0;0;5.0;3.0;3.0;425000;75.0;75013;6000;29.0;30.0
1.0;1;17.0;0;1;0;0;0;0;0;0;0;1;0;0;5.0;5.0;2.0;175000;17.0;75018;612;6.0;6.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;1;0;0;1.0;4.0;2.0;430000;39.0;75002;1860;6.0;7.0
4.0;3;-1.0;0;1;1;1;0;0;0;0;1;1;0;0;1.0;4.0;4.0;650000;90.0;75019;32760;13.0;22.0
2.0;1;-1.0;0;1;0;0;0;1;0;0;0;1;0;0;3.0;5.0;2.0;520000;41.0;75016;1440;2.0;8.0
1.0;1;26.0;0;0;0;0;0;0;0;1;0;0;0;0;-1.0;5.0;3.0;275000;26.0;75017;1050;-1.0;-1.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;1;0;1;-1.0;4.0;1.0;400000;30.0;75016;0;3.0;5.0
3.0;2;-1.0;0;0;0;1;0;0;0;0;1;1;0;0;3.0;4.0;4.0;620000;51.0;75009;2112;2.0;5.0
4.0;3;-1.0;0;1;0;0;0;0;0;0;0;1;0;0;1.0;5.0;2.0;980000;95.0;75017;4200;4.0;4.0
3.0;2;-1.0;0;1;0;1;0;0;0;0;0;1;0;0;5.0;4.0;4.0;560000;64.0;75018;2820;1.0;6.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;1;1;0;1.0;5.0;5.0;345000;37.0;75017;3600;2.0;6.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;5.0;3.0;190000;23.0;75018;1320;2.0;3.0
3.0;2;-1.0;0;0;0;1;0;1;0;1;0;0;1;1;3.0;5.0;5.0;390000;44.0;75010;1200;2.0;6.0
1.0;1;12.7;0;0;0;0;0;0;0;0;0;0;0;1;-1.0;5.0;3.0;125000;12.7;75013;390;6.0;6.0
3.0;2;-1.0;0;0;0;1;0;1;0;1;0;0;1;1;3.0;4.0;2.0;500000;50.1;75018;2256;3.0;6.0
3.0;2;-1.0;0;0;0;0;0;1;0;1;0;1;1;1;5.0;4.0;4.0;880000;66.0;75009;0;5.0;6.0
1.0;1;13.7;0;0;0;0;0;0;0;0;1;0;0;0;-1.0;6.0;6.0;185000;13.7;75005;1160;2.0;4.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;5.0;2.0;400000;39.0;75014;1116;5.0;6.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;1;0;0;1.0;5.0;2.0;590000;40.0;75004;2400;3.0;6.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;1;0;0;5.0;6.0;3.0;475000;42.0;75011;1320;4.0;6.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;1;-1.0;3.0;1.0;429000;33.0;75016;0;3.0;6.0
4.0;3;-1.0;0;1;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;2.0;999000;102.0;75003;3;1.0;5.0
3.0;2;-1.0;0;1;0;1;0;0;0;0;0;0;0;0;3.0;5.0;3.0;480000;53.0;75019;1968;3.0;5.0
4.0;2;-1.0;0;0;0;1;0;0;0;0;0;1;0;0;-1.0;5.0;6.0;795000;103.0;75018;2952;2.0;5.0
3.0;2;-1.0;0;0;0;1;0;0;0;0;0;1;1;0;3.0;5.0;2.0;500000;49.0;75015;1620;1.0;5.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;0;0;1;0;1.0;5.0;5.0;550000;53.0;75016;3360;1.0;6.0
2.0;1;-1.0;0;0;0;0;0;0;0;1;0;1;0;1;-1.0;5.0;2.0;299000;26.0;75010;1022;3.0;3.0
3.0;2;-1.0;1;1;1;0;0;0;0;0;0;1;0;0;1.0;3.0;3.0;600000;73.0;75018;3600;15.0;16.0
4.0;2;-1.0;0;1;0;1;0;0;0;0;0;0;0;0;3.0;3.0;3.0;570000;65.0;75019;0;1.0;6.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;0;1;0;0;3.0;4.0;4.0;460000;45.0;75015;2880;7.0;8.0
3.0;2;-1.0;0;1;0;1;0;0;0;0;0;1;0;0;1.0;4.0;3.0;800000;80.0;75015;8520;33.0;33.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;4.0;4.0;585000;54.0;75011;1920;2.0;5.0
4.0;2;-1.0;1;1;1;1;0;0;0;0;0;0;1;0;5.0;3.0;3.0;650000;74.0;75013;6000;13.0;31.0
1.0;1;38.0;0;0;0;0;0;0;0;0;0;1;0;0;1.0;6.0;6.0;360000;38.0;75011;1440;1.0;5.0
1.0;1;37.8;0;0;0;1;0;1;0;1;0;1;0;0;3.0;4.0;2.0;450000;37.8;75006;1030;4.0;4.0
1.0;1;10.0;0;0;0;0;0;0;0;1;0;0;0;1;-1.0;5.0;3.0;98000;10.0;75018;696;1.0;4.0
1.0;1;14.0;0;0;0;1;0;0;0;0;0;0;0;1;-1.0;5.0;2.0;368500;30.0;75016;1600;1.0;6.0
2.0;1;20.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;2.0;351000;33.0;75005;1800;2.0;5.0
1.0;1;22.4;0;0;0;0;0;0;0;0;0;1;0;0;-1.0;6.0;3.0;235000;22.4;75011;0;4.0;6.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;0;0;0;0;-1.0;5.0;3.0;315000;37.0;75018;1168;1.0;5.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;0;0;0;0;-1.0;5.0;5.0;615000;55.7;75005;1736;1.0;6.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;-1.0;6.0;3.0;349000;38.7;75014;920;1.0;6.0
1.0;1;24.0;0;0;0;0;0;1;0;1;0;0;1;1;-1.0;5.0;2.0;159000;24.0;75018;1400;0.0;1.0
3.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;5.0;3.0;295000;58.7;75020;1280;0.0;4.0
2.0;1;27.0;0;1;0;1;0;1;0;1;0;0;0;1;3.0;6.0;3.0;330000;33.0;75018;1136;1.0;6.0
2.0;1;-1.0;0;0;0;0;0;0;0;1;0;0;0;1;-1.0;5.0;3.0;240000;27.0;75018;800;5.0;6.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;0;1;0;0;3.0;4.0;2.0;460000;40.0;75014;1380;2.0;5.0
3.0;1;-1.0;0;1;0;1;0;1;0;1;0;1;1;1;5.0;4.0;4.0;695000;68.0;75018;0;0.0;6.0
4.0;3;-1.0;0;1;0;1;0;1;0;1;0;1;1;1;3.0;4.0;5.0;500000;80.0;75018;3500;0.0;8.0
1.0;1;26.5;0;0;0;0;0;1;0;1;0;0;1;1;-1.0;4.0;2.0;230000;26.5;75018;840;2.0;6.0
1.0;1;30.0;1;1;0;1;0;1;1;1;1;0;0;1;3.0;4.0;4.0;436000;30.0;75016;2000;4.0;-1.0
