Nombre de pieces;Nombre de chambres;Superficie salon (m);Balcon;Ascenseur;Parking;Cave;Accessible_mobilit_rduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis  vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
3.0;1;-1.0;0;0;0;0;0;1;0;0;0;0;0;0;5.0;4.0;4.0;479000.0;82.2;94170;0;1.0;2.0
4.0;2;25.0;1;1;0;1;0;0;0;1;0;0;0;0;3.0;4.0;2.0;510000.0;73.0;94130;2568;1.0;4.0
3.0;1;34.0;1;1;0;1;0;1;1;1;0;0;0;1;3.0;4.0;4.0;629000.0;89.0;94210;6384;1.0;3.0
4.0;3;-1.0;1;1;0;0;0;0;0;0;0;1;0;0;3.0;3.0;3.0;477000.0;83.0;94000;3400;4.0;4.0
4.0;3;-1.0;1;1;1;1;0;1;0;1;1;0;0;1;-1.0;4.0;4.0;950000.0;110.0;94300;4680;2.0;8.0
3.0;2;-1.0;0;1;0;1;0;1;0;1;0;0;0;1;-1.0;4.0;4.0;310000.0;66.0;94130;2416;1.0;5.0
3.0;2;20.0;1;1;1;1;0;1;0;1;1;1;0;1;-1.0;4.0;4.0;199000.0;72.0;94430;4500;4.0;5.0
4.0;3;-1.0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;4.0;3.0;298000.0;80.0;94000;0;1.0;4.0
4.0;3;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;5.0;-1.0;-1.0;225000.0;119.0;94190;2680;4.0;4.0
2.0;1;25.0;1;1;1;1;0;1;0;0;1;0;0;1;-1.0;5.0;5.0;280000.0;58.0;94800;3421;8.0;10.0
3.0;2;-1.0;0;1;0;0;0;0;0;1;0;0;0;1;-1.0;5.0;2.0;540000.0;49.0;94300;0;1.0;4.0
4.0;3;-1.0;0;0;0;1;0;1;0;0;0;0;0;0;5.0;-1.0;3.0;682500.0;80.0;94300;3782;3.0;3.0
4.0;3;31.0;1;1;0;1;0;1;0;0;0;0;0;1;5.0;-1.0;-1.0;1285000.0;98.0;94160;0;4.0;6.0
4.0;2;39.0;0;0;0;1;0;1;0;1;0;1;0;0;3.0;-1.0;-1.0;700000.0;72.0;94160;3600;3.0;4.0
2.0;1;16.0;0;1;1;1;0;1;0;1;0;0;0;1;-1.0;6.0;6.0;229000.0;47.0;94200;3200;3.0;7.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;1;0;0;0;-1.0;3.0;3.0;190000.0;50.0;94000;2160;2.0;4.0
3.0;2;-1.0;0;1;0;0;0;0;0;0;0;0;0;0;1.0;3.0;1.0;280000.0;72.6;94000;3600;4.0;4.0
4.0;3;-1.0;0;1;0;0;0;0;0;0;0;0;0;1;5.0;3.0;3.0;285000.0;75.4;94000;0;4.0;4.0
3.0;2;20.0;0;0;0;1;0;0;0;0;0;0;0;0;5.0;-1.0;-1.0;190000.0;-1.0;94190;1925;4.0;4.0
3.0;2;28.0;0;1;0;0;0;0;0;0;0;0;0;0;-1.0;3.0;3.0;325500.0;65.0;94200;1200;1.0;7.0
1.0;1;21.5;0;1;0;1;0;1;0;0;1;1;0;0;5.0;-1.0;-1.0;159000.0;28.0;94000;2068;4.0;4.0
4.0;2;26.2;1;1;0;0;0;1;0;0;0;0;0;0;3.0;4.0;2.0;320000.0;70.0;94000;2356;3.0;4.0
2.0;1;21.0;0;1;1;1;0;1;0;0;1;0;0;0;3.0;4.0;4.0;220000.0;56.0;94000;3163;2.0;4.0
4.0;3;16.0;0;0;0;1;0;1;0;1;0;0;0;1;-1.0;5.0;5.0;175000.0;67.0;94480;2781;3.0;4.0
4.0;3;31.0;1;1;1;0;0;1;0;0;1;0;0;0;3.0;3.0;2.0;299000.0;86.0;94000;3440;4.0;6.0
3.0;2;-1.0;0;1;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;2.0;308000.0;53.0;94200;0;2.0;-1.0
3.0;2;-1.0;1;1;1;1;0;1;0;0;1;0;0;1;-1.0;5.0;5.0;196000.0;62.0;94430;4196;2.0;4.0
4.0;3;-1.0;0;1;0;0;0;0;0;0;0;0;0;0;-1.0;2.0;1.0;250000.0;77.0;94500;3192;2.0;4.0
2.0;1;25.0;0;0;0;0;0;0;0;1;0;0;0;1;-1.0;5.0;2.0;215000.0;39.0;94200;1080;1.0;2.0
4.0;3;-1.0;0;1;1;0;0;1;0;1;0;1;0;1;-1.0;3.0;3.0;690000.0;88.0;94130;3204;0.0;6.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;1;1;0;1;1.0;4.0;2.0;235000.0;43.0;94220;3600;6.0;21.0
3.0;2;-1.0;1;1;0;0;0;0;0;0;0;0;0;0;3.0;4.0;3.0;260000.0;64.0;94000;2400;0.0;3.0
2.0;1;18.0;0;0;0;1;0;1;0;1;0;0;0;1;3.0;4.0;2.0;199500.0;32.0;94170;65;0.0;1.0
5.0;3;28.0;1;1;0;1;0;1;0;1;1;0;0;1;-1.0;3.0;1.0;378000.0;91.0;94200;2700;-1.0;-1.0
5.0;3;-1.0;0;0;0;0;0;1;0;1;0;0;0;1;-1.0;5.0;2.0;730000.0;95.0;94130;2600;-1.0;-1.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;4.0;5.0;164900.0;45.0;94420;1950;3.0;4.0
4.0;3;17.0;1;0;0;1;0;0;0;0;0;1;0;1;5.0;3.0;3.0;495000.0;70.0;94230;0;2.0;2.0
3.0;2;29.0;1;0;1;1;0;1;0;0;0;1;0;1;-1.0;-1.0;-1.0;259000.0;66.0;94320;1587;3.0;3.0
4.0;3;21.0;1;0;0;0;0;1;0;0;0;1;0;1;3.0;3.0;1.0;309000.0;74.0;94320;2035;2.0;3.0
4.0;3;-1.0;0;1;1;1;0;1;0;1;0;0;0;1;-1.0;3.0;2.0;625000.0;81.0;94120;3600;1.0;5.0
4.0;3;-1.0;0;1;1;0;0;1;1;1;0;0;0;0;-1.0;3.0;1.0;660000.0;83.0;94250;3136;7.0;7.0
3.0;2;14.0;0;0;0;0;0;1;0;0;0;0;0;0;3.0;5.0;5.0;262000.0;50.0;94110;1470;2.0;2.0
5.0;3;-1.0;0;0;0;0;0;1;0;1;0;0;0;1;-1.0;3.0;1.0;650000.0;152.0;94120;1600;1.0;2.0
4.0;2;-1.0;0;0;1;1;0;1;0;1;0;0;0;0;-1.0;5.0;5.0;209000.0;62.0;94320;2921;3.0;4.0
3.0;2;16.0;0;0;0;1;0;0;0;0;0;1;0;0;-1.0;4.0;4.0;199000.0;52.0;94320;1598;4.0;4.0
4.0;3;34.0;1;0;1;1;0;1;0;1;0;0;0;1;-1.0;4.0;4.0;605000.0;101.0;94360;4600;1.0;3.0
4.0;2;31.0;0;1;0;1;0;1;0;1;0;0;0;1;3.0;3.0;3.0;650000.0;82.4;94100;1760;3.0;4.0
4.0;2;32.0;1;1;0;1;0;1;0;1;0;0;0;1;3.0;3.0;3.0;561000.0;84.2;94100;3360;2.0;4.0
5.0;3;-1.0;0;1;0;1;0;0;0;0;0;1;0;0;3.0;3.0;3.0;495000.0;96.0;94230;2400;1.0;5.0
4.0;3;-1.0;1;0;1;1;0;0;1;1;0;0;0;1;-1.0;4.0;4.0;399000.0;96.0;94240;5200;3.0;3.0
4.0;3;-1.0;1;0;1;1;0;1;0;1;0;1;0;1;-1.0;4.0;4.0;649000.0;86.0;94120;1800;3.0;3.0
3.0;2;27.0;1;1;0;0;0;1;1;1;0;1;0;0;3.0;2.0;1.0;485000.0;67.0;94110;2800;2.0;5.0
3.0;2;18.0;1;1;0;1;0;0;1;0;0;0;0;0;-1.0;4.0;4.0;390000.0;69.0;94700;3048;3.0;5.0
1.0;1;15.0;0;0;1;0;0;1;0;1;0;0;0;1;5.0;5.0;5.0;145000.0;24.0;94100;2340;1.0;5.0
3.0;2;33.0;1;1;0;0;0;0;0;0;1;1;0;0;3.0;2.0;1.0;345000.0;67.0;94110;0;4.0;-1.0
3.0;2;37.0;1;1;0;0;0;0;0;0;0;1;0;1;3.0;3.0;1.0;415000.0;70.9;94110;0;3.0;4.0
4.0;3;-1.0;1;1;1;1;0;0;0;0;1;0;0;0;-1.0;4.0;4.0;750000.0;110.0;94210;579986;5.0;6.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;5.0;5.0;167000.0;37.0;94400;500;1.0;1.0
3.0;2;-1.0;0;1;1;0;0;0;1;1;0;0;0;0;-1.0;3.0;1.0;820000.0;114.0;94340;3226;5.0;5.0
4.0;2;30.0;0;1;0;1;0;0;0;0;0;0;0;0;3.0;3.0;1.0;349000.0;82.4;94110;0;5.0;7.0
2.0;2;15.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;5.0;4.0;225000.0;55.0;94400;2400;1.0;-1.0
4.0;3;28.0;1;1;0;0;0;0;0;0;1;0;0;1;5.0;4.0;4.0;399000.0;88.0;94110;0;13.0;14.0
2.0;1;16.0;0;0;0;1;0;0;0;1;1;0;0;1;-1.0;5.0;4.0;165000.0;42.0;94600;179472;3.0;4.0
3.0;2;21.0;1;1;1;0;0;0;0;0;0;0;0;0;3.0;3.0;1.0;329000.0;66.0;94420;0;2.0;5.0
4.0;3;-1.0;1;1;0;1;0;0;1;1;0;0;0;0;-1.0;-1.0;-1.0;220000.0;74.0;94500;4600;1.0;6.0
3.0;2;24.0;1;1;1;0;0;0;0;1;0;0;0;0;-1.0;3.0;3.0;276500.0;65.0;94400;2730;3.0;4.0
3.0;2;17.0;1;1;1;1;0;0;0;0;1;0;0;0;3.0;4.0;4.0;208250.0;52.0;94400;2730;6.0;8.0
5.0;3;37.0;1;1;1;0;0;0;0;0;1;0;0;1;-1.0;5.0;5.0;200000.0;97.0;94430;5244;1.0;6.0
4.0;3;-1.0;1;1;1;0;0;0;0;0;0;0;0;1;-1.0;3.0;1.0;438000.0;80.7;94200;2645;2.0;-1.0
3.0;2;37.0;1;0;0;1;0;1;0;1;0;1;0;0;3.0;3.0;1.0;495000.0;74.0;94170;1752;1.0;3.0
4.0;3;-1.0;1;1;1;1;0;1;0;1;1;0;0;1;-1.0;4.0;4.0;649000.0;100.0;94120;6800;1.0;4.0
3.0;2;-1.0;1;1;0;0;0;0;0;0;0;0;0;0;-1.0;4.0;3.0;186000.0;54.9;94260;2200;4.0;4.0
2.0;1;26.0;0;1;0;1;0;1;0;1;0;0;0;1;3.0;5.0;5.0;540000.0;87.0;94160;1560;5.0;5.0
4.0;2;30.0;1;1;1;1;0;0;0;0;0;0;0;1;-1.0;5.0;5.0;299000.0;80.0;94000;3680;2.0;4.0
3.0;2;-1.0;1;1;0;1;0;1;0;0;0;0;0;1;3.0;5.0;5.0;475000.0;82.0;94360;2068;3.0;4.0
4.0;3;-1.0;1;1;1;1;0;1;0;0;0;0;0;1;3.0;5.0;5.0;380000.0;85.6;94430;4798;2.0;-1.0
4.0;3;-1.0;1;1;1;1;0;0;0;0;1;0;0;0;-1.0;4.0;1.0;275000.0;73.0;94150;2640;1.0;5.0
3.0;1;-1.0;1;1;1;1;0;0;0;0;0;0;0;1;-1.0;5.0;5.0;530000.0;90.8;94210;6000;2.0;3.0
5.0;3;-1.0;1;1;0;1;0;0;0;0;0;0;0;0;-1.0;4.0;3.0;199000.0;75.8;94260;3200;4.0;1.0
4.0;2;-1.0;1;0;1;1;0;1;0;0;1;0;0;1;3.0;6.0;5.0;339000.0;87.6;94240;3900;4.0;1.0
2.0;1;16.0;0;0;0;1;0;0;0;0;1;0;0;1;-1.0;5.0;5.0;160000.0;42.0;94600;1476;2.0;4.0
3.0;1;12.0;0;0;1;1;0;0;0;0;0;1;0;1;5.0;5.0;2.0;187000.0;38.8;94430;750;1.0;2.0
4.0;3;24.0;1;1;1;1;0;1;0;1;1;0;0;1;3.0;3.0;2.0;215000.0;70.0;94260;0;2.0;-1.0
3.0;2;-1.0;0;1;0;0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;266900.0;75.0;94600;0;1.0;-1.0
4.0;3;-1.0;0;0;1;0;0;0;0;0;0;0;0;0;-1.0;1.0;1.0;399500.0;69.0;94230;600;2.0;2.0
3.0;2;-1.0;1;0;1;0;0;0;0;0;0;1;0;0;-1.0;3.0;3.0;254500.0;64.0;94880;0;3.0;-1.0
5.0;4;-1.0;1;1;0;1;0;1;0;1;0;0;0;1;-1.0;5.0;5.0;574000.0;117.0;94120;5472;4.0;4.0
5.0;4;24.0;1;1;1;1;0;1;0;1;1;0;0;1;3.0;4.0;3.0;245000.0;78.0;94260;0;7.0;10.0
3.0;2;-1.0;0;0;1;1;0;1;0;1;0;0;0;1;-1.0;6.0;6.0;295000.0;50.0;94120;1200;4.0;4.0
1.0;1;23.0;1;1;0;0;0;1;0;0;0;0;0;0;-1.0;4.0;4.0;169000.0;23.0;94140;1400;4.0;4.0
