Prix;Arrondissement;Nombre de pieces;Nombre de chambres;Superficie;Superficie salon (m²);Etage;Nombre d'etages;Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Charge annuelles;Exposition;DPE;GES
426 000 €;Ivry-sur-Seine (94200);4.0;3;83 m²;20.0;RDC/5;;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;2 991 €/an;;B;B
290 000 €;Créteil (94000);3.0;2;61 m²;24.0;RDC/5;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;2 292 €/an;Sud;C;B
385 000 €;Villiers-sur-Marne (94350);4.0;3;87,6 m²;33.0;2;5.0;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;;Sud-ouest;;
309 000 €;Créteil (94000);3.0;2;62 m²;24.0;RDC/5;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;2 616 €/an;Sud;C;B
549 900 €;Pantin (93500);5.0;4;103 m²;;4;4.0;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;3 480 €/an;Sud-est;G;F
309 000 €;Créteil (94000);3.0;2;64 m²;23.0;RDC/5;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;2 388 €/an;Sud;C;B
255 000 €;Villecresnes (94440);5.0;3;95 m²;;;;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;3 688 €/an;;C;C
330 000 €;Maisons-Alfort (94700);4.0;4;96,7 m²;;RDC/1;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;4 000 €/an;;D;B
790 000 €;Saint-Maur-des-Fossés (94210);7.0;4;131,7 m²;;;;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;5 598 €/an;;E;E
599 000 €;Saint-Maur-des-Fossés (94210);5.0;3;110,9 m²;;;;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;6 612 €/an;;E;E
199 000 €;Le Plessis-Trévise (94420);2.0;1;42,1 m²;;;;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;1 080 €/an;;D;B
598 000 €;Paris 20ème (75020);4.0;3;63 m²;;2;2.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;;Est;F;E
299 000 €;Maisons-Alfort (94700);2.0;1;56 m²;24.0;RDC/4;;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 250 €/an;;E;E
239 900 €;Maisons-Alfort (94700);2.0;1;35,6 m²;;RDC;;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;520 €/an;;G;C
160 800 €;Les Pavillons-sous-Bois (93320);3.0;2;54 m²;;1;1.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;1 595 €/an;Ouest;G;G
449 000 €;Bry-sur-Marne (94360);3.0;2;68 m²;;RDC/2;;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;1 200 €/an;Ouest;D;B
640 000 €;Paris 10ème (75010);3.0;2;82 m²;;RDC/2;;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;5 572 €/an;;E;E
