Prix;Arrondissement;Nombre de pieces;Nombre de chambres;Superficie;Superficie salon (m²);Etage;Nombre d'etages;Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Charge annuelles;Exposition;DPE;GES
295 000 €;Créteil (94000);3.0;2;65 m²;26.0;2;4.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;1 570 €/an;Sud-ouest;D;F
217 000 €;Créteil (94000);2.0;1;54 m²;;3;5.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;2 200 €/an;Est;C;C
520 000 €;Le Perreux sur Marne (94170);4.0;3;81 m²;24.0;4;5.0;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;2 300 €/an;;C;A
442 799 €;Vitry-sur-Seine (94400);5.0;4;94 m²;;7;7.0;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;;;A;A
223 000 €;Ivry sur Seine (94200);2.0;1;40 m²;13.0;3;3.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;1 400 €/an;;F;F
460 000 €;Nogent sur Marne (94130);3.0;2;57 m²;20.0;4;4.0;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;3 370 €/an;;E;D
370 000 €;Joinville-le-Pont (94340);3.0;2;63,6 m²;21.1;1er;;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;;Ouest;D;A
352 000 €;Maisons-Alfort (94700);3.0;2;67 m²;25.4;1;11.0;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;3 540 €/an;Nord-est;D;C
630 000 €;Maisons-Alfort (94700);4.0;2;88 m²;;1;5.0;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;2 232 €/an;Sud-est;B;B
332 000 €;Villejuif (94800);3.0;1;52 m²;;5;9.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 267 €/an;Ouest;C;C
333 000 €;Maisons-Alfort (94700);2.0;1;50,8 m²;20.0;3;5.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;1 620 €/an;Nord;D;B
66 000 €;Vitry sur Seine (94400);1.0;1;11,6 m²;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;300 €/an;;C;A
260 000 €;Alfortville (94140);3.0;2;45 m²;;2;4.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;1 700 €/an;;E;C
628 000 €;Vincennes (94300);3.0;2;74 m²;27.0;2;8.0;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Oui;Oui;3 288 €/an;Sud;D;D
375 000 €;Alfortville (94140);3.0;2;70 m²;21.0;3;4.0;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;2 100 €/an;Sud-est;D;A
329 999 €;Maisons Alfort (94700);3.0;2;60,7 m²;21.0;6;7.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 320 €/an;Est;D;A
410 000 €;Nogent sur Marne (94130);3.0;2;68 m²;;2;5.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;2 160 €/an;;C;A
290 000 €;Champigny sur Marne (94500);4.0;3;88 m²;26.0;1;4.0;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;4 300 €/an;Sud;D;D
212 000 €;Boissy-Saint-Léger (94470);4.0;2;69,9 m²;20.9;1er;;Oui;Oui;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;;Est;;
375 000 €;Cachan (94230);3.0;2;63 m²;22.0;2ème;;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;3 120 €/an;;B;B
618 000 €;Nogent sur Marne (94130);4.0;3;93 m²;;3;4.0;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;216 €/an;Sud;D;D
180 000 €;Creteil (94000);2.0;1;49 m²;;2;8.0;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;;;;
520 000 €;Cachan (94230);4.0;3;104 m²;42.0;1er;;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;600 €/an;;D;B
395 000 €;Maisons-Alfort (94700);3.0;2;64 m²;;3;5.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 016 €/an;Ouest;D;A
169 000 €;Choisy le Roi (94600);3.0;2;53 m²;;6;6.0;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;2 380 €/an;;F;F
423 000 €;Creteil (94000);4.0;2;95 m²;34.9;3;4.0;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;4 218 €/an;Ouest;D;C
869 000 €;Nogent sur Marne (94130);6.0;4;135 m²;;3;3.0;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;2 864 €/an;;C;A
599 000 €;Maisons-Alfort (94700);4.0;3;110 m²;;3;4.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;;Sud;C;C
245 000 €;Villiers sur Marne (94350);2.0;1;43 m²;18.0;1;4.0;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;1 486 €/an;Sud-ouest;C;C
259 000 €;Saint-Maur-des-Fossés (94100);2.0;1;42,3 m²;;2;4.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;3 600 €/an;Est;E;E
800 000 €;Le Perreux-sur-Marne (94170);4.0;3;91,8 m²;44.0;5;5.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;2 793 €/an;Sud-ouest;B;B
1 085 000 €;Bry-sur-Marne (94360);5.0;3;157,3 m²;;2;2.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;7 900 €/an;Sud-ouest;D;D
360 000 €;Vincennes (94300);2.0;1;56 m²;29.0;3;3.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;868 €/an;;G;G
276 000 €;Le Kremlin Bicetre (94270);3.0;1;56,2 m²;15.6;5ème;;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;2 500 €/an;;E;E
649 000 €;Joinville-le-Pont (94340);5.0;4;102,7 m²;18.0;2;4.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;5 733 €/an;Sud-ouest;D;D
370 000 €;Arcueil (94110);3.0;2;61,2 m²;23.3;2ème;;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Nord-ouest;B;A
363 000 €;Maisons-Alfort (94700);3.0;2;62 m²;;5;6.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Sud;D;D
209 900 €;Choisy le Roi (94600);3.0;2;54 m²;27.0;1;4.0;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;1 380 €/an;;D;A
222 000 €;Créteil (94000);2.0;1;41,4 m²;;4;5.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;2 000 €/an;Sud-ouest;C;C
419 000 €;Ivry sur Seine (94200);4.0;3;72 m²;;3;5.0;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;1 640 €/an;;C;C
295 000 €;Champigny sur Marne (94500);3.0;2;59 m²;19.0;3;3.0;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;2 560 €/an;;D;B
259 000 €;Alfortville (94140);4.0;3;70 m²;;6;10.0;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;;Est;C;A
255 000 €;Choisy le Roi (94600);3.0;2;66 m²;;4;6.0;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 880 €/an;Est;B;B
209 000 €;Boissy-Saint-Léger (94470);3.0;2;67,4 m²;18.5;3;6.0;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;3 600 €/an;Est;D;D
449 500 €;Nogent sur Marne (94130);4.0;3;86 m²;;1;6.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non;Oui;5 360 €/an;Sud;D;D
225 800 €;Villejuif (94800);2.0;1;35,8 m²;;2;4.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;;Nord;D;B
209 780 €;Villejuif (94800);2.0;1;46 m²;29.0;5ème;;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non;3 240 €/an;;G;F
349 000 €;Alfortville (94140);3.0;2;63 m²;;2;5.0;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;;Sud;D;D
89 000 €;Fontenay sous Bois (94120);1.0;1;15 m²;;1er;;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Oui;1 440 €/an;;G;C
499 800 €;Fontenay-sous-Bois (94120);3.0;2;66,2 m²;18.0;2;4.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;;Sud;E;E
550 000 €;Saint-Maurice (94410);4.0;3;98,5 m²;33.8;4;8.0;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;4 940 €/an;Nord-ouest;D;B
629 000 €;Nogent sur Marne (94130);4.0;3;86 m²;;1;4.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 238 €/an;;D;B
585 000 €;Saint Mande (94160);3.0;2;63 m²;;1;6.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;2 524 €/an;;C;A
175 000 €;Maisons-Alfort (94700);2.0;1;20,3 m²;;4;4.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;355 €/an;Sud-est;G;C
319 000 €;Alfortville (94140);3.0;2;57 m²;;3;4.0;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;;Sud-ouest;D;A
730 000 €;Saint Mande (94160);4.0;3;81 m²;;1;6.0;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;3 436 €/an;;C;A
290 000 €;Choisy-le-Roi (94600);3.0;2;82 m²;;1;4.0;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;;Sud-ouest;C;A
410 000 €;Nogent sur Marne (94130);3.0;2;59 m²;;1;4.0;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 008 €/an;;C;C
337 800 €;Ivry sur Seine (94200);3.0;2;67 m²;25.0;1;2.0;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;1 500 €/an;;D;D
280 000 €;Choisy-le-Roi (94600);4.0;3;75 m²;23.0;2;6.0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;;;C;A
479 900 €;Champigny-sur-Marne (94500);4.0;3;86,6 m²;35.0;5;5.0;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;;Ouest;B;A
260 000 €;Maisons-Alfort (94700);2.0;1;36 m²;;2ème;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Est;E;E
287 000 €;Maisons-Alfort (94700);2.0;1;47,1 m²;24.0;2;3.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;;Ouest;D;B
178 000 €;Saint Maur des Fosses (94100);1.0;1;24 m²;;2;3.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;948 €/an;Ouest;E;B
469 900 €;Chennevières-sur-Marne (94430);4.0;3;106,8 m²;43.6;5;5.0;Non;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;;Sud;B;A
615 900 €;Le Perreux-sur-Marne (94170);4.0;3;91,5 m²;37.3;5;5.0;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;;Ouest;B;A
395 000 €;Maisons-Alfort (94700);2.0;1;49 m²;24.0;2;4.0;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;;;B;A
1 176 000 €;Maisons-Alfort (94700);5.0;4;111 m²;30.0;4;4.0;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;;Sud-ouest;A;A
716 000 €;Maisons-Alfort (94700);4.0;3;90 m²;38.0;1;4.0;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;;Sud-ouest;B;A
549 000 €;Nogent sur Marne (94130);4.0;2;79 m²;;2;5.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;1 964 €/an;;C;C
220 000 €;Paris 17ème (75017);2.0;1;26 m²;;1;5.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;1 200 €/an;;;
335 000 €;La Varenne Saint Hilaire (94210);3.0;2;58,6 m²;19.0;2;3.0;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;1 800 €/an;Sud-ouest;D;D
235 000 €;Villiers sur Marne (94350);4.0;3;74 m²;27.0;7;8.0;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;3 300 €/an;Ouest;E;E
235 000 €;Alfortville (94140);3.0;2;40 m²;;2;3.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;;Sud;E;E
180 000 €;Nogent-sur-Marne (94130);2.0;1;47 m²;25.0;2;4.0;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;10 000 €/an;;C;A
1 136 000 €;Saint-Maurice (94410);4.0;3;114,5 m²;;2ème;;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;3 504 €/an;Ouest;E;B
368 000 €;Cachan (94230);3.0;2;70 m²;23.0;5;5.0;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 520 €/an;;D;B
365 000 €;Cachan (94230);4.0;3;78 m²;;3;12.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 754 €/an;;E;B
480 000 €;Maisons Alfort (94700);3.0;1;77 m²;32.0;4ème;;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 064 €/an;Nord;G;G
315 000 €;Maisons-Alfort (94700);3.0;1;62,4 m²;;2ème;;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Sud-est;C;C
245 900 €;Creteil (94000);2.0;1;58 m²;17.6;3ème;;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 460 €/an;Nord-ouest;E;F
635 000 €;Chennevieres sur Marne (94430);5.0;3;100 m²;32.0;3;3.0;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;1 €/an;Est;C;C
257 500 €;Villejuif (94800);3.0;2;63 m²;15.0;1er;;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;600 €/an;;G;C
179 500 €;Aubervilliers (93300);3.0;2;62 m²;;1;18.0;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;4 470 €/an;;D;D
150 000 €;Maisons-Alfort (94700);1.0;1;20 m²;;1;5.0;Non;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Oui;Non;;;;
273 000 €;Villejuif (94800);3.0;2;66 m²;;3;4.0;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 386 €/an;;;
995 000 €;Maisons-Alfort (94700);5.0;4;110 m²;40.0;3ème;;Non;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;;;;
739 000 €;Saint-Maur-des-Fossés (94210);5.0;1;99 m²;;1er;;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;Sud-ouest;;
459 000 €;Maisons-Alfort (94700);5.0;1;100 m²;;3ème;;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;
454 900 €;Villejuif (94800);4.0;1;82 m²;;4ème;;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;
315 000 €;Villeneuve-le-Roi (94290);4.0;3;84 m²;;2;4.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;2 673 €/an;;C;C
265 000 €;Le Kremlin Bicetre (94270);2.0;1;41,8 m²;21.5;1er;;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;1 728 €/an;Sud;D;D
358 000 €;Ivry sur Seine (94200);3.0;2;65 m²;30.0;4;6.0;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 000 €/an;;C;C
499 000 €;St Maur des Fosses (94100);5.0;3;100 m²;40.6;1er;;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;5 964 €/an;;F;F
369 000 €;Fontenay-sous-Bois (94120);4.0;3;80 m²;;1er;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;2 796 €/an;Est;A;A
799 000 €;Saint-Maur-des-Fossés (94100);5.0;4;100 m²;;4;4.0;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;3 504 €/an;Sud;A;A
299 000 €;Limeil-Brévannes (94450);3.0;1;68 m²;;2ème;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 376 €/an;Sud;;
1 200 000 €;Paris 1er (75001);3.0;2;100 m²;;3ème;;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;3 580 €/an;Ouest;D;D
199 000 €;Limeil-Brévannes (94450);2.0;1;43 m²;;1er;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;1 500 €/an;;;
157 000 €;Limeil-Brévannes (94450);1.0;1;34 m²;;4ème;;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;1 188 €/an;;;
448 000 €;Vincennes (94300);3.0;2;52 m²;18.0;2;5.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;1 600 €/an;;F;F
399 900 €;Fontenay sous Bois (94120);3.0;2;53,4 m²;;3;3.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;3 436 €/an;;D;D
310 000 €;L'Haÿ-les-Roses (94240);3.0;3;60 m²;;7ème;;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;;;;
237 000 €;La Varenne St Hilaire (94210);2.0;1;41,7 m²;;3ème;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;1 812 €/an;;F;F
494 000 €;St Maurice (94410);4.0;2;83 m²;23.6;4ème;;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;5 976 €/an;;F;F
279 000 €;Villiers-sur-Marne (94350);2.0;1;51 m²;;3;3.0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;2 496 €/an;;B;C
575 000 €;Charenton le Pont (94220);3.0;2;71 m²;22.9;2;5.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;2 070 €/an;Est;C;A
188 000 €;Villiers sur Marne (94350);3.0;2;66,8 m²;19.6;1er;;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;3 766,48 €/an;;D;D
223 000 €;Champigny-sur-Marne (94500);5.0;4;104 m²;22.0;10;14.0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Sud-ouest;;
175 000 €;Limeil-Brévannes (94450);2.0;1;39,5 m²;18.9;1er;;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Non;;Nord-est;;
179 000 €;Ivry sur Seine (94200);2.0;1;39 m²;15.0;7;9.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;2 616 €/an;;D;D
389 000 €;Thiais (94320);4.0;3;78,1 m²;;1er;;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;;Sud-est;;
230 000 €;Créteil (94000);2.0;1;39 m²;;1;3.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;1 347 €/an;;B;B
179 890 €;Chennevieres sur Marne (94430);2.0;1;42,5 m²;;4ème;;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Oui;1 636,64 €/an;;C;C
266 000 €;Le Kremlin Bicetre (94270);2.0;1;31 m²;22.6;3ème;;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;1 250 €/an;;D;B
425 000 €;St Mande (94160);2.0;1;50 m²;20.0;6;6.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;2 280 €/an;Ouest;E;D
478 000 €;Vincennes (94300);2.0;1;48 m²;16.0;2;6.0;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;;Sud;D;D
650 000 €;St Mande (94160);3.0;2;67 m²;24.0;5;7.0;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;;Sud-ouest;D;B
492 000 €;St Mande (94160);3.0;1;56 m²;29.0;3;4.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Sud-est;E;E
640 000 €;Charenton le Pont (94220);4.0;3;77 m²;;1;4.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Nord-est;;
1 660 000 €;St Mande (94160);4.0;3;140 m²;50.0;3;4.0;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Sud;;
369 000 €;Maisons Alfort (94700);4.0;3;88 m²;;7;8.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;5 300 €/an;;D;C
255 000 €;Créteil (94000);3.0;2;66 m²;;4;4.0;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;3 240 €/an;;D;D
440 000 €;Le Kremlin Bicetre (94270);4.0;3;81 m²;;3ème;;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;2 700 €/an;;E;B
397 500 €;Créteil (94000);5.0;3;114 m²;;7;1.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;;Sud;D;C
360 000 €;Villejuif (94800);2.0;1;52,6 m²;25.0;6;6.0;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;;Nord-ouest;B;A
289 000 €;Maisons-Alfort (94700);3.0;2;62 m²;;6;10.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;2 628 €/an;Ouest;D;C
430 000 €;Le Kremlin Bicetre (94270);4.0;3;84 m²;23.0;2;4.0;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;2 905 €/an;Sud;D;B
244 700 €;Creteil (94000);3.0;2;70 m²;36.0;7;12.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;4 248 €/an;;E;C
350 000 €;Villejuif (94800);2.0;1;45,6 m²;20.0;5;6.0;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;;Nord-ouest;B;A
349 000 €;Saint-Maur-des-Fossés (94100);3.0;2;65 m²;;3;4.0;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;3 000 €/an;Sud;D;D
149 000 €;St Maur des Fosses (94100);1.0;1;31,4 m²;21.6;1er;;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;2 040 €/an;;F;F
271 000 €;St Maur des Fosses (94100);3.0;2;48,2 m²;19.9;1er;;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;641 €/an;;E;E
256 000 €;St Maur des Fosses (94100);2.0;1;50,3 m²;21.1;5ème;;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;2 700 €/an;;E;E
244 000 €;Le Kremlin Bicetre (94270);2.0;1;32,6 m²;12.8;4ème;;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 400 €/an;;D;D
340 000 €;Villejuif (94800);4.0;3;62 m²;19.0;1;2.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;1 000 €/an;;E;C
244 000 €;Gentilly (94250);2.0;1;32,6 m²;12.8;4ème;;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 400 €/an;;D;D
299 000 €;Villiers-sur-Marne (94350);4.0;3;77 m²;;1;4.0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;2 640 €/an;;C;C
209 000 €;Villiers sur Marne (94350);2.0;1;47,8 m²;23.9;3ème;;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 356,10 €/an;Sud;C;A
273 000 €;Joinville-le-Pont (94340);2.0;1;42,3 m²;18.0;2;5.0;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;;Nord-est;C;A
435 000 €;L'Haÿ-les-Roses (94240);4.0;3;87 m²;31.0;3ème;;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;;Sud;;
414 000 €;Champigny-sur-Marne (94500);4.0;3;84 m²;;4ème;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;;Sud;;
530 000 €;Le Perreux-sur-Marne (94170);4.0;3;83 m²;;2ème;;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;;;;
636 000 €;Le Perreux-sur-Marne (94170);4.0;3;87 m²;41.0;1er;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;;Sud-ouest;;
247 000 €;Choisy le Roi (94600);3.0;2;60 m²;;2;2.0;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 588 €/an;;D;B
220 000 €;Le Plessis-Pâté (91220);3.0;2;67 m²;26.0;RDC;;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;1 350 €/an;Sud;D;B
349 000 €;Gentilly (94250);3.0;2;74 m²;22.8;1;4.0;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;1 440 €/an;;E;B
420 000 €;Joinville-le-Pont (94340);5.0;3;78,6 m²;28.0;2;4.0;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;1 496 €/an;Est;D;D
179 900 €;Champigny sur Marne (94500);3.0;2;44 m²;;4;4.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;1 400 €/an;Sud;F;C
282 000 €;L'Haÿ-les-Roses (94240);3.0;2;74 m²;28.0;7;14.0;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;2 900 €/an;Sud-est;D;C
376 000 €;Cachan (94230);4.0;3;69 m²;;5;5.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;1 950 €/an;Sud-ouest;D;D
